Location,Poverty Level,TimeFrame,DataFormat,Data
CENTENNIAL R-1,Eligible for Free Lunch,2007,Number,123
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2006,Number,185
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2006,Number,48
CENTENNIAL R-1,Eligible for Free Lunch,2006,Number,137
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2006,Percent,0.2025
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2006,Percent,0.7806
CENTENNIAL R-1,Eligible for Free Lunch,2006,Percent,0.5781
CENTENNIAL R-1,Eligible for Free Lunch,2005,Percent,0.7036
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2005,Percent,0.1581
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2005,Percent,0.8617
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2005,Number,218
CENTENNIAL R-1,Eligible for Free Lunch,2005,Number,178
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2005,Number,40
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2004,Number,56
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2004,Number,224
CENTENNIAL R-1,Eligible for Free Lunch,2004,Number,168
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2004,Percent,0.2129
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2004,Percent,0.8517
CENTENNIAL R-1,Eligible for Free Lunch,2004,Percent,0.6388
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2003,Percent,0.13
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2003,Percent,0.76
CENTENNIAL R-1,Eligible for Free Lunch,2003,Percent,0.63
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2003,Number,136
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2002,Number,49
CENTENNIAL R-1,Eligible for Free Lunch,2003,Number,113
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2003,Number,23
CENTENNIAL R-1,Eligible for Free Lunch,2002,Number,192
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2002,Number,241
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2002,Percent,0.16554
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2002,Percent,0.81419
CENTENNIAL R-1,Eligible for Free Lunch,2002,Percent,0.64865
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2001,Percent,0.11818
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2001,Percent,0.76061
CENTENNIAL R-1,Eligible for Free Lunch,2001,Percent,0.64242
CENTENNIAL R-1,Eligible for Free Lunch,2001,Number,212
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2001,Number,251
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2001,Number,39
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2000,Number,66
CENTENNIAL R-1,Eligible for Free Lunch,2000,Number,203
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2000,Number,269
CENTENNIAL R-1,Eligible for Free or Reduced Lunch,2000,Percent,0.81
CENTENNIAL R-1,Eligible for Free Lunch,2000,Percent,0.61
CENTENNIAL R-1,Eligible for Reduced Price Lunch,2000,Percent,0.2
