Location,Score,TimeFrame,DataFormat,Data
BRUSH RE-2(J),Writing,2008,Percent,0.375
BRUSH RE-2(J),Writing,2009,Percent,0.364
BRUSH RE-2(J),Writing,2010,Percent,0.571
BRUSH RE-2(J),Reading,2011,Percent,0.60163
BRUSH RE-2(J),Math,2011,Percent,0.38211
BRUSH RE-2(J),Math,2012,Percent,0.43519
BRUSH RE-2(J),Writing,2011,Percent,0.52033
BRUSH RE-2(J),Writing,2012,Percent,0.43519
BRUSH RE-2(J),Reading,2012,Percent,0.66667
BRUSH RE-2(J),Math,2013,Percent,0.36667
BRUSH RE-2(J),Math,2014,Percent,0.328
BRUSH RE-2(J),Reading,2013,Percent,0.57983
BRUSH RE-2(J),Reading,2014,Percent,0.592
BRUSH RE-2(J),Writing,2013,Percent,0.5042
BRUSH RE-2(J),Writing,2014,Percent,0.512
BUENA VISTA R-31,Math,2008,Percent,0.412
BUENA VISTA R-31,Math,2009,Percent,0.447
BUENA VISTA R-31,Math,2010,Percent,0.412
BUENA VISTA R-31,Reading,2008,Percent,0.75
BUENA VISTA R-31,Reading,2009,Percent,0.697
BUENA VISTA R-31,Reading,2010,Percent,0.608
BUENA VISTA R-31,Writing,2008,Percent,0.509
BUENA VISTA R-31,Writing,2009,Percent,0.557
BUENA VISTA R-31,Writing,2010,Percent,0.588
BUENA VISTA R-31,Reading,2011,Percent,0.77778
BUENA VISTA R-31,Math,2011,Percent,0.41975
BUENA VISTA R-31,Math,2012,Percent,0.51351
BUENA VISTA R-31,Writing,2011,Percent,0.46914
BUENA VISTA R-31,Writing,2012,Percent,0.51351
BUENA VISTA R-31,Reading,2012,Percent,0.68919
BUENA VISTA R-31,Math,2013,Percent,0.43548
BUENA VISTA R-31,Math,2014,Percent,0.58209
BUENA VISTA R-31,Reading,2013,Percent,0.66129
BUENA VISTA R-31,Reading,2014,Percent,0.74627
BUENA VISTA R-31,Writing,2013,Percent,0.56452
BUENA VISTA R-31,Writing,2014,Percent,0.50746
CENTENNIAL R-1,Reading,2008,Percent,N/A
CENTENNIAL R-1,Reading,2009,Percent,0.524
CENTENNIAL R-1,Reading,2010,Percent,N/A
CENTENNIAL R-1,Writing,2008,Percent,0.596
CENTENNIAL R-1,Writing,2009,Percent,0.507
CENTENNIAL R-1,Writing,2010,Percent,N/A
CENTENNIAL R-1,Reading,2011,Percent,N/A
CENTENNIAL R-1,Math,2011,Percent,N/A
CENTENNIAL R-1,Math,2012,Percent,N/A
CENTENNIAL R-1,Writing,2011,Percent,N/A
CENTENNIAL R-1,Writing,2012,Percent,N/A
CENTENNIAL R-1,Reading,2012,Percent,N/A
CENTENNIAL R-1,Math,2013,Percent,LNE
CENTENNIAL R-1,Math,2014,Percent,LNE
CENTENNIAL R-1,Reading,2013,Percent,LNE
CENTENNIAL R-1,Reading,2014,Percent,LNE
CENTENNIAL R-1,Writing,2013,Percent,LNE
CENTENNIAL R-1,Writing,2014,Percent,LNE
CENTENNIAL R-1,Math,2008,Percent,N/A
CENTENNIAL R-1,Writing,2014,Percent,LNE
CENTENNIAL R-1,Math,2009,Percent,0.238
